number.json,type,content
10072.json,mostly-true,"['rais', 'minimum', 'wage', '$', '<num>', 'hour', ',', 'would', 'help', 'lift', 'million', 'american', 'poverti', '.']"
10624.json,mostly-true,"['say', 'secretari', 'state', 'john', 'kerri', ',', 'senat', ',', 'flew', 'managua', 'met', 'communist', 'dictat', ',', 'daniel', 'ortega', ',', 'accus', 'reagan', 'administr', 'engag', 'terror', '.']"
13142.json,false,"['nato', 'open', 'major', 'terror', 'divis', '.', '...', 'im', 'sure', 'im', 'go', 'get', 'credit', ',', 'larg', 'say', 'critic', 'nato', '.']"
338.json,true,"['sen.', 'obama', 'alway', '<num>', 'percent', 'prochoic', 'rate', '.']"
7848.json,half-true,"['sinc', 'gina', 'raimondo', 'took', 'offic', ',', 'invest', 'fee', 'state', 'pension', 'portfolio', 'gone', '$', '<num>', 'million', 'annual', '$', '<num>', 'million', '.']"
2820.json,true,"['(', 'feder', ')', 'debt', 'grow', '$', '<num>', 'billion', 'day', '.']"
4456.json,half-true,"['presid', 'barack', 'obama', 'job', 'bill', ',', 'state', 'would', 'longer', 'lay', 'teacher', ',', 'firefight', 'polic', 'offic', '.']"
7796.json,false,"['<num>', 'teacher', 'k-', '<num>', ',', '<num>', 'teacher', 'today', '<num>', 'year', 'old', '.']"
7467.json,mostly-true,"['two-third', 'wisconsinit', 'receiv', 'unemploy', 'check', 'requir', 'search', 'work', 'due', 'current', 'work', 'search', 'exempt', '.']"
8654.json,half-true,"['presid', 'obama', 'health-car', 'reform', ',', 'premium', 'averag', 'plan', 'famili', 'didnt', 'go', '$', '<num>', 'per', 'year', ',', 'gone', '$', '<num>', 'per', 'year', '.']"
9492.json,half-true,"['ir', 'also', 'investig', 'liber', 'group', ',', 'group', 'progress', 'name', '.', '...', 'ir', 'basic', 'look', 'everybodi', '.']"
6895.json,barely-true,"['say', 'obama', 'promis', 'unemploy', 'would', 'never', 'go', '<num>', 'percent', '.']"
10423.json,true,"['economi', 'creat', 'job', 'fastest', 'pace', 'sinc', '<num>', '.']"
6767.json,mostly-true,"['presid', 'obama', 'decid', 'meet', 'prime', 'minist', 'benjamin', 'netanyahu', 'new', 'york', '.']"
11043.json,mostly-true,"['major', 'state', ',', 'marri', 'freeli', ',', 'still', 'fire', 'love', '.']"
4357.json,pants-fire,"['say', 'oregon', 'reps.', 'peter', 'defazio', 'earl', 'blumenau', 'socialist', 'openli', 'serv', 'u.s.', 'congress', '.']"
162.json,pants-fire,"['rudi', 'giuliani', '``', 'probabl', 'underqualifi', 'man', 'sinc', 'georg', 'bush', 'seek', 'presid', '.', ""''""]"
10768.json,false,"['half', 'presid', 'governor', ';', 'half', ',', 'senat', '.']"
12593.json,mostly-true,"['britain', 'vote', 'leav', 'european', 'union', ',', 'within', '<num>', 'hour', ',', 'american', 'lost', '$', '<num>', 'billion', '<num>', '(', 'k', ')', '.']"
8164.json,mostly-true,"['medicaid', 'spend', 'declin', '<num>', 'percent', '<num>', ',', 'second', 'declin', '<num>', 'year', '.']"
6520.json,true,"['say', '<num>', 'texa', 'constabl', 'die', 'line', 'duti', '.']"
9500.json,mostly-true,"['gov', '.', 'rick', 'scott', 'cut', 'cost', 'prepaid', 'colleg', 'tuition', 'nearli', '$', '<num>']"
4629.json,mostly-true,"['citi', 'columbu', 'would', 'save', '$', '<num>', 'million', 'year', 'employe', 'contribut', ',', 'guaranteed-check', 'pension', '.']"
1593.json,true,"['florida', ""'s"", 'cfo', ',', 'shut', 'krakow', ""'s"", 'scam', 'refund', '$', '<num>', 'million', 'josephin', 'victim', 'con', 'man', '.']"
10560.json,mostly-true,"['women', 'get', 'comput', 'scienc', 'degre', '80', 'factor', '<num>', '-plu', '.']"
7555.json,false,"['air', 'forc', 'want', 'taxpay', 'fund', 'fantasi', 'footbal', 'leagu', '.']"
6777.json,pants-fire,"['barack', 'hussein', 'obama', '...', 'forc', 'court', 'accept', 'islam', 'sharia', 'law', 'domest', 'disput', '.']"
11385.json,half-true,"['<num>', 'percent', 'murder', 'crime', 'commit', 'gun', 'peopl', 'actual', '(', 'legal', ')', 'purchas', 'gun', '.']"
3836.json,mostly-true,"['neighborhood', 'school', 'close', '.']"
325.json,mostly-true,"['told', 'gay', 'organ', 'massachusett', 'would', 'stronger', 'advoc', 'special', 'right', 'even', 'ted', 'kennedi', '.']"
2555.json,mostly-true,"['year', 'speaker', ',', 'florida', 'hous', 'consist', 'offer', 'leaner', 'budget', 'governor', 'offer', '.']"
7803.json,barely-true,"['alreadi', 'almost', 'halfway', '<num>', 'goal', 'creat', '<num>', 'new', 'job', 'seven', 'year', '.']"
8985.json,true,"['say', 'u.s.', 'suprem', 'court', 'found', 'social', 'secur', 'guarante', '.']"
12021.json,false,"['saysmichael', 'bennet', 'want', 'close', 'guantanamo', 'bay', 'prisonand', 'bring', 'terrorist', 'right', 'colorado', '.']"
2932.json,true,"['oregonian', 'amaz', 'no-cost', 'way', 'fight', 'abort', 'free', 'polit', 'donat']"
11486.json,pants-fire,"['presid', 'said', 'he', 'go', 'bring', '<num>', '(', 'syrian', 'iraqi', ')', 'refuge', 'countri', '.']"
7324.json,barely-true,"['research', 'show', 'vast', 'major', 'arriv', 'immigr', 'today', 'come', 'believ', 'govern', 'sourc', 'prosper', ',', 'that', 'support', '.']"
4884.json,mostly-true,"['newt', 'gingrich', 'immigr', 'plan', 'offer', 'new', 'doorway', 'amnesti', '.']"
2257.json,false,"['mr.', 'caprio', 'career', 'politician', 'never', 'work', 'privat', 'sector', '.']"
8019.json,barely-true,"['rhode', 'island', ',', '<num>', 'percent', 'worker', 'use', 'state', 'temporari', 'disabl', 'insur', 'program', 'year', 'new', 'jersey', ',', 'rate', '<num>', 'percent', '.']"
10947.json,mostly-true,"['<num>', 'year', ',', 'spend', 'social', 'secur', ',', 'feder', 'health', 'care', 'interest', 'debt', 'exceed', 'tax', 'revenu', '!']"
12014.json,mostly-true,"['presid', 'obama', 'took', 'money', 'wall', 'street', '<num>', 'campaign', 'anybodi', 'ever', '.']"
13241.json,half-true,"['donald', 'trump', 'said', 'nuclear', 'prolifer', 'ok', '.']"
445.json,true,"['hillari', 'clinton', 'taken', '$', '<num>', 'lobbyist', '.']"
6588.json,false,"['barack', 'obama', 'never', 'even', 'work', 'busi', '.']"
1835.json,half-true,"['say', 'arizona', 'immigr', 'law', 'expressli', 'ban', 'racial', 'profil', '.']"
3782.json,false,"['say', 'gov', '.', 'rick', 'perri', 'beg', 'feder', 'govern', 'send', 'coast', 'guard', 'patrol', 'two', 'lake', 'u.s.-mexico', 'border', '.']"
11536.json,barely-true,"['va', ':', '<num>', 'veteran', 'die', 'wait', 'care', '.']"
6827.json,mostly-true,"['spend', '<num>', 'percent', 'economi', 'govern', '.']"
5236.json,barely-true,"['rob', 'cornil', 'support', 'privat', 'medicar', '.']"
9230.json,false,"['<num>', ',', 'dan', 'branch', 'tri', 'expand', 'third-trimest', 'abort', 'texa', '.']"
2869.json,half-true,"['(', 'democrat', ')', 'made', 'steadi', 'progress', 'creat', 'job', 'improv', 'school', '.']"
3864.json,pants-fire,"['michigan', 'massachusett', 'rais', 'bottl', 'deposit', 'could', 'longer', 'afford', 'program', 'redempt', 'high', 'profit', '.']"
3054.json,true,"['whether', 'like', 'admit', ',', 'half', 'gener', 'revenu', 'goe', 'educ', '.']"
2367.json,false,"['im', 'one', 'who', 'fought', 'develop', 'drain', 'everglad', '!']"
13432.json,half-true,"['say', 'ron', 'johnson', 'call', 'social', 'secur', 'ponzi', 'scheme', 'want', 'privat', 'program', '.']"
12237.json,half-true,"['<num>', 'state', '<num>', 'citi', 'type', 'polici', 'pass', ',', 'refer', 'north', 'carolina', 'hous', 'bill', '<num>', '.']"
11582.json,barely-true,"['climat', 'chang', 'directli', 'relat', 'growth', 'terror', '.']"
4453.json,barely-true,"['job', 'bill', 'includ', 'presid', 'obama', 'tax', 'soup', 'kitchen']"
6898.json,barely-true,"['say', 'obama', 'administr', 'spent', 'taxpay', 'dollar', 'electr', 'car', 'finland', '(', ')', 'windmil', 'china', '.']"
704.json,half-true,"['sarah', 'mayor', 'wasilla', 'tri', 'fire', 'highli', 'respect', 'citi', 'librarian', 'librarian', 'refus', 'consid', 'remov', 'librari', 'book', 'sarah', 'want', 'remov', '.']"
10887.json,half-true,"['milwauke', 'approv', 'reduc', 'maximum', 'forfeitur', 'marijuana', 'possess', '$', '<num>', ',', 'citi', 'would', '<num>', 'differ', 'bicycl', 'violat', 'higher', 'forfeitur', '.']"
11828.json,false,"['illeg', 'immigr', 'five', 'year', 'ago', '.']"
4504.json,barely-true,"['say', 'rick', 'perri', 'wrote', 'letter', 'support', 'hillarycar', '.']"
9561.json,false,"['u.s.', 'patent', 'trademark', 'offic', 'receiv', 'zero', 'complaint', 'washington', 'redskin', 'name', '.']"
1441.json,pants-fire,"['presid', 'health', 'care', 'propos', 'caus', 'american', 'premium', 'increas', ',', 'decreas', ',', 'hundr', 'million', 'peopl', 'lose', 'current', 'insur', 'coverag', '.']"
12683.json,mostly-true,"['(', 'mexican', 'immigr', ')', 'law-abid', 'u.s.', 'citizen', 'statist', '.']"
7295.json,half-true,"['say', 'chri', 'christi', 'veto', 'job', 'packag', '<num>', 'bill', '.']"
9554.json,true,"['alreadi', 'american', 'job', 'solar', 'industri', 'coal', 'mine', '.']"
2576.json,half-true,"['say', 'illinoi', 'gubernatori', 'candid', 'bill', 'bradi', 'first', 'prioriti', 'win', 'primari', 'sponsor', 'bill', 'would', 'mass-euthan', 'shelter', 'dog', 'cat', 'ga', 'chamber', '.']"
2954.json,half-true,"['barack', 'obama', 'economi', 'that', 'worsen', 'sinc', 'he', 'presid', 'unit', 'state', '.']"
81.json,mostly-true,"['romney', 'fail', 'take', 'action', '``', 'sanctuari', 'citi', ""''"", 'massachusett', '.']"
5288.json,half-true,"['say', 'new', 'jersey', 'nearli', '<num>', 'job', 'pre-recess', 'peak', 'gov', '.', 'chri', 'christi', 'new', 'jersey', 'trail', 'rest', 'america', 'come', 'unemploy', '<num>', 'consecut', 'month', '.']"
10142.json,false,"['say', 'thoma', 'eric', 'duncan', 'came', 'unit', 'state', 'elev', 'temperatur', '.']"
8754.json,mostly-true,"['afghanistan', 'longer', 'foreign', 'land', 'conduct', 'war', 'nation', 'histori', '.']"
3776.json,half-true,"['ga', 'price', 'gone', '$', '<num>', 'sinc', 'obama', 'took', 'offic', '.']"
2537.json,true,"['webster', 'sponsor', 'bill', 'creat', 'form', 'marriag', 'would', 'trap', 'women', 'abus', 'relationship', '.']"
4681.json,true,"['say', 'judg', 'get', 'better', 'benefit', 'lower', 'cost', 'everybodi', 'els', 'state', '.']"
5524.json,true,"['lot', 'casino', 'across', 'countri', 'gone', 'bankrupt', '.']"
5044.json,true,"['small', 'busi', 'creat', '<num>', 'percent', 'job', 'america', '.']"
1266.json,half-true,"['senior', 'coverag', 'medicar', 'advantag', 'give', '``', 'share', ""''"", 'health', 'care', 'reform']"
8090.json,half-true,"['<num>', 'school', 'kid', 'arrest', 'florida', '.', 'make', 'florida', 'nation', 'leader', 'area', '.']"
13069.json,mostly-true,"['texa', 'countri', 'economi', 'would', 'rank', '#', '<num>', '...', 'world', '.']"
6969.json,false,"['oil', 'rig', 'oper', 'unit', 'state', 'rest', 'world', 'combin', '.']"
8733.json,half-true,"['payday', 'lender', 'profit', 'poor', 'charg', '<num>', '-plu', 'percent', 'interest', '.']"
7785.json,half-true,"['social', 'secur', 'trust', 'fund', 'sound', '.', 'without', 'anyth', 'done', ',', 'would', 'function', 'well', '<num>', ';', 'even', 'time', 'chang', ',', 'could', 'pay', '<num>', 'percent', 'benefit', 'peopl', 'earn', '.']"
2802.json,mostly-true,"['commit', 'voter', 'take', 'serious', ':', 'incumb', 'ohio', 'break', 'pledg', 'vote', 'ted', 'strickland', 'incom', 'tax', 'hike', 'defeat', 'soundli', 'tuesday', '.']"
8370.json,false,"['obama', 'administr', 'shut', 'amber', 'alert', 'program', 'govern', 'shutdown', '.']"
2269.json,mostly-true,"['republican', '<num>', 'percent', 'muslim', 'vote', '.']"
7243.json,mostly-true,"['[', 'w', ']', 'e', 'see', 'america', 'prison', 'popul', 'explod', ',', 'america', 'greater', 'percentag', 'peopl', 'behind', 'bar', 'nation', 'world', '!']"
3333.json,pants-fire,"['say', 'hear', ',', 'rep.', 'gabriel', 'gifford', 'suggest', 'gen.', 'david', 'petraeu', 'armi', 'put', 'emphasi', 'less', 'environment', 'damag', 'method', ',', 'like', 'stab', 'club', 'enemi', 'forc', 'order', 'minim', 'carbon', 'output', '.']"
9289.json,half-true,"['everi', 'singl', 'one', '<num>', 'republican', 'senat', 'block', 'rais', 'minimum', 'wage', 'receiv', '$', '<num>', 'cost-of-liv', 'adjust', 'januari', '<num>', ',', '<num>', '.']"
1053.json,true,"['texa', ',', '.', '<num>', 'name', 'new', 'male', 'babi', 'mani', 'vote', 'one', 'day', 'jose', '.']"
11731.json,mostly-true,"['marco', 'rubio', 'vote', 'author', 'presid', 'obama', 'strike', 'syria', 'assad', 'use', 'chemic', 'weapon', 'peopl', '.']"
1059.json,false,"['cash', 'clunker', 'program', ',', ""'ve"", 'got', '...', 'go', 'local', 'junkyard', ',', ""'ve"", 'got', 'tow', 'hous', '.', ""'re"", 'go', 'get', '$', '<num>']"
